Patient_ID	Tumor_Sample_Barcode	Chromosome	Start_Position	End_Position	CopyNumber	Major_CN	Minor_CN
PD53338	PD53338a	chr4	9757629	48681122	3	2	1
PD53338	PD53338a	chr4	49092094	49709420	5	4	1
PD53338	PD53338a	chr4	52019155	79408189	2	1	1
PD53338	PD53338a	chr4	79907586	110312157	2	1	1
PD53338	PD53338a	chr4	110312255	117734777	1	1	0
PD53338	PD53338a	chr4	117834430	120816233	2	1	1
PD53338	PD53338a	chr4	120816684	144808676	2	1	1
PD53338	PD53338a	chr4	144808804	165694301	4	3	1
PD53338	PD53338a	chr4	165701412	174304301	2	2	0
PD53338	PD53338a	chr4	174316257	190179679	3	2	1
PD53338	PD53338a	chr5	74968	292404	17	16	1
PD53338	PD53338a	chr5	299753	696840	15	15	0
PD53338	PD53338a	chr5	696888	733957	14	10	4
PD53338	PD53338a	chr5	739045	1297833	11	10	1
PD53338	PD53338a	chr5	1302029	1344343	5	4	1
PD53338	PD53338a	chr5	1362933	1569065	17	16	1
PD53338	PD53338a	chr5	1590787	5606762	4	3	1
PD53338	PD53338a	chr5	5707652	6457367	13	12	1
PD53338	PD53338a	chr5	6500455	9830167	8	6	2
PD53338	PD53338a	chr5	9914354	11714632	17	16	1
PD53338	PD53338a	chr5	11728201	45421138	3	2	1
PD53338	PD53338a	chr5	49601562	49666628	3	2	1
PD53338	PD53338a	chr5	50633096	55573116	2	1	1
PD53338	PD53338a	chr5	55612704	137966231	1	1	0
PD53338	PD53338a	chr5	137984963	181281936	2	1	1
PD53338	PD53338a	chr6	159973	6463674	4	3	1
PD53338	PD53338a	chr6	6517655	40461212	4	3	1
PD53338	PD53338a	chr6	40577008	40790759	19	17	2
PD53338	PD53338a	chr6	40876732	41481641	3	3	0
PD53338	PD53338a	chr6	41587255	46194591	8	5	3
PD53338	PD53338a	chr6	46231596	47113391	15	12	3
PD53338	PD53338a	chr6	47113598	47786802	6	3	3
PD53338	PD53338a	chr6	47806861	58380586	4	3	1
PD53338	PD53338a	chr6	60291702	63486026	4	3	1
PD53338	PD53338a	chr6	64590092	123378422	1	1	0
PD53338	PD53338a	chr6	123437269	156567928	2	1	1
PD53338	PD53338a	chr6	156852174	170594710	1	1	0
PD53338	PD53338a	chr7	31443	58100446	4	3	1
PD53338	PD53338a	chr7	60958088	116301422	4	3	1
PD53338	PD53338a	chr7	116498612	117620860	2	2	0
PD53338	PD53338a	chr7	117717855	155134192	5	4	1
PD53338	PD53338a	chr7	155157760	159232184	1	1	0
PD53338	PD53338a	chr8	232794	43438973	2	1	1
PD53338	PD53338a	chr8	45952307	145066250	2	1	1
PD53338	PD53338a	chr9	103776	15793848	2	1	1
PD53338	PD53338a	chr9	15831268	38068535	1	1	0
PD53338	PD53338a	chr9	38076782	42975009	2	1	1
PD53338	PD53338a	chr9	43111221	66636022	2	1	1
PD53338	PD53338a	chr9	66636108	138198484	1	1	0
PD53338	PD53338a	chr10	47485	38637486	2	1	1
PD53338	PD53338a	chr10	38646502	39199370	2	2	0
PD53338	PD53338a	chr10	41859953	42273277	4	3	1
PD53338	PD53338a	chr10	42279754	133538664	2	1	1
PD53338	PD53338a	chr10	133538764	133787106	5	4	1
PD53338	PD53338a	chr11	194331	36833838	2	1	1
PD53338	PD53338a	chr11	36948206	50553108	2	1	1
PD53338	PD53338a	chr11	54591798	68074902	3	2	1
PD53338	PD53338a	chr11	68110690	68257345	19	19	0
PD53338	PD53338a	chr11	68262547	68602039	10	9	1
PD53338	PD53338a	chr11	68607810	69072692	2	2	0
PD53338	PD53338a	chr11	69078630	69294067	10	8	2
PD53338	PD53338a	chr11	69299620	69577504	18	17	1
PD53338	PD53338a	chr11	69578406	69962985	15	15	0
PD53338	PD53338a	chr11	69981378	70102930	7	6	1
PD53338	PD53338a	chr11	70103221	70613688	20	19	1
PD53338	PD53338a	chr11	70729649	71261918	11	10	1
PD53338	PD53338a	chr11	71261942	71444928	14	14	0
PD53338	PD53338a	chr11	71454501	71672173	11	10	1
PD53338	PD53338a	chr11	71677338	72159587	6	5	1
PD53338	PD53338a	chr11	72167899	73107418	11	10	1
PD53338	PD53338a	chr11	73129061	75587752	6	5	1
PD53338	PD53338a	chr11	75629174	78480138	17	17	0
PD53338	PD53338a	chr11	78518835	79805959	1	1	0
PD53338	PD53338a	chr11	79960369	80842369	13	12	1
PD53338	PD53338a	chr11	80921683	86556672	1	1	0
PD53338	PD53338a	chr11	86782110	87017517	20	20	0
PD53338	PD53338a	chr11	87021998	88113895	8	7	1
PD53338	PD53338a	chr11	88147570	89320107	13	12	1
PD53338	PD53338a	chr11	89324180	90038944	9	7	2
PD53338	PD53338a	chr11	90057985	92234932	12	12	0
PD53338	PD53338a	chr11	92315633	92974533	14	13	1
PD53338	PD53338a	chr11	92998768	93637026	9	7	2
PD53338	PD53338a	chr11	93654329	93704438	16	15	1
PD53338	PD53338a	chr11	93720230	93930993	6	5	1
PD53338	PD53338a	chr11	93931980	95089774	13	13	0
PD53338	PD53338a	chr11	95111501	95886122	8	7	1
PD53338	PD53338a	chr11	95923443	98177117	12	12	0
PD53338	PD53338a	chr11	98201895	99437502	5	4	1
PD53338	PD53338a	chr11	99447753	100559130	18	9	9
PD53338	PD53338a	chr11	100626548	102047781	5	4	1
PD53338	PD53338a	chr11	102105132	103459700	18	17	1
PD53338	PD53338a	chr11	103459711	104952153	13	13	0
PD53338	PD53338a	chr11	104995734	105184802	10	9	1
PD53338	PD53338a	chr11	105258818	105597313	11	11	0
PD53338	PD53338a	chr11	105611194	106065736	12	11	1
PD53338	PD53338a	chr11	106090844	108437448	14	14	0
PD53338	PD53338a	chr11	108460754	108675850	10	8	2
PD53338	PD53338a	chr11	108852124	120475651	2	1	1
PD53338	PD53338a	chr11	120484521	134773602	2	1	1
PD53338	PD53338a	chr12	12183	34309801	2	1	1
PD53338	PD53338a	chr12	37420670	112678195	2	1	1
PD53338	PD53338a	chr12	112679715	115533151	4	3	1
PD53338	PD53338a	chr12	115551594	133231689	6	5	1
PD53338	PD53338a	chr13	18177561	18475574	2	1	1
PD53338	PD53338a	chr13	18475587	78909040	1	1	0
PD53338	PD53338a	chr13	78909356	91503492	0	0	0
PD53338	PD53338a	chr13	91567892	92072610	7	7	0
PD53338	PD53338a	chr13	92115227	114354010	1	1	0
PD53338	PD53338a	chr14	16099298	16401976	1	1	0
PD53338	PD53338a	chr14	18283692	26727094	2	1	1
PD53338	PD53338a	chr14	26733540	32735619	4	3	1
PD53338	PD53338a	chr14	32751026	106872503	2	1	1
PD53338	PD53338a	chr15	19964897	23166310	3	3	0
PD53338	PD53338a	chr15	23167005	23373868	8	7	1
PD53338	PD53338a	chr15	23440086	65222573	1	1	0
PD53338	PD53338a	chr15	65229982	101931064	3	2	1
PD53338	PD53338a	chr16	11651	33938516	3	2	1
PD53338	PD53338a	chr16	34071624	35908045	4	3	1
PD53338	PD53338a	chr16	46386441	46401545	6	3	3
PD53338	PD53338a	chr16	46543225	84977874	1	1	0
PD53338	PD53338a	chr16	84996794	87534161	2	2	0
PD53338	PD53338a	chr16	87567842	90095122	1	1	0
PD53338	PD53338a	chr17	84633	2726694	4	4	0
PD53338	PD53338a	chr17	2748047	18275670	1	1	0
PD53338	PD53338a	chr17	18278480	21235021	3	3	0
PD53338	PD53338a	chr17	21244091	25074523	4	2	2
PD53338	PD53338a	chr17	25920144	27008762	10	5	5
PD53338	PD53338a	chr17	27025282	34039528	5	3	2
PD53338	PD53338a	chr17	34049264	36322118	3	2	1
PD53338	PD53338a	chr17	36340045	83170297	4	3	1
PD53338	PD53338a	chr18	47718	108548	4	2	2
PD53338	PD53338a	chr18	110425	15350708	3	2	1
PD53338	PD53338a	chr18	20955320	73205176	3	2	1
PD53338	PD53338a	chr18	73357728	78581418	2	2	0
PD53338	PD53338a	chr18	78881601	80258035	4	2	2
PD53338	PD53338a	chr19	261438	24394204	2	1	1
PD53338	PD53338a	chr19	27963443	41026010	2	1	1
PD53338	PD53338a	chr19	41026221	41027351	5	5	0
PD53338	PD53338a	chr19	41047774	58571468	2	1	1
PD53338	PD53338a	chr20	87894	26091457	2	1	1
PD53338	PD53338a	chr20	28559278	30976309	3	2	1
PD53338	PD53338a	chr20	31054753	31074257	7	5	2
PD53338	PD53338a	chr20	31074275	64316422	3	2	1
PD53338	PD53338a	chr21	5218123	10739746	1	1	0
PD53338	PD53338a	chr21	13000259	46664370	2	1	1
PD53338	PD53338a	chr22	10673872	12801219	2	2	0
PD53338	PD53338a	chr22	15509365	16694664	1	1	0
PD53338	PD53338a	chr22	16694891	25688007	3	2	1
PD53338	PD53338a	chr22	25695339	27622834	1	1	0
PD53338	PD53338a	chr22	27661133	50808396	3	2	1
PD53338	PD53338a	chrX	16692	4484106	2	1	1
PD53338	PD53338a	chrX	4520997	8569370	14	13	1
PD53338	PD53338a	chrX	8585506	10475005	2	1	1
PD53338	PD53338a	chrX	11179168	38655915	1	1	0
PD53338	PD53338a	chrX	38666371	40808560	4	2	2
PD53338	PD53338a	chrX	40834823	52669305	1	1	0
PD53338	PD53338a	chrX	52796156	58042596	2	2	0
PD53338	PD53338a	chrX	62780088	82999140	2	2	0
PD53338	PD53338a	chrX	83016383	85135552	12	10	2
PD53338	PD53338a	chrX	85304171	156028131	2	2	0
PD53338	PD53338a	chrY	10796701	56885732	2	1	1
PD53342	PD53342a	chr1	590378	16481855	2	1	1
PD53342	PD53342a	chr1	16490339	16934362	2	1	1
PD53342	PD53342a	chr1	16934986	123176084	2	1	1
PD53342	PD53342a	chr1	123926367	199857754	2	1	1
PD53342	PD53342a	chr1	199876151	248650600	2	1	1
PD53342	PD53342a	chr2	41366	89760314	2	1	1
PD53342	PD53342a	chr2	89828678	91987777	2	1	1
PD53342	PD53342a	chr2	94218795	242183318	2	1	1
PD53342	PD53342a	chr3	10374	9028234	2	1	1
PD53342	PD53342a	chr3	9032933	47145585	2	1	1
PD53342	PD53342a	chr3	47154140	53126116	2	1	1
PD53342	PD53342a	chr3	53128731	90613961	2	1	1
PD53342	PD53342a	chr3	91374136	179143629	2	1	1
PD53342	PD53342a	chr3	179199217	195342724	1	1	0
PD53342	PD53342a	chr3	195344169	198051000	1	1	0
PD53342	PD53342a	chr4	13970	49092775	2	1	1
PD53342	PD53342a	chr4	49096834	49711665	1	1	0
PD53342	PD53342a	chr4	52044381	57941299	2	1	1
PD53342	PD53342a	chr4	57974644	73420106	2	1	1
PD53342	PD53342a	chr4	73436354	92070760	1	1	0
PD53342	PD53342a	chr4	92182533	190179679	3	2	1
PD53342	PD53342a	chr5	36646	1287225	11	9	2
PD53342	PD53342a	chr5	1289162	4494709	3	3	0
PD53342	PD53342a	chr5	4600259	5855296	3	2	1
PD53342	PD53342a	chr5	5872036	11735775	3	3	0
PD53342	PD53342a	chr5	11903759	13754828	11	7	4
PD53342	PD53342a	chr5	13758420	19204527	3	2	1
PD53342	PD53342a	chr5	19208593	39496006	2	2	0
PD53342	PD53342a	chr5	39499390	46206871	5	3	2
PD53342	PD53342a	chr5	49601562	49666191	1	1	0
PD53342	PD53342a	chr5	50491604	170517170	2	1	1
PD53342	PD53342a	chr5	170606055	181292406	2	1	1
PD53342	PD53342a	chr6	171132	32473349	2	1	1
PD53342	PD53342a	chr6	32473373	44614800	2	1	1
PD53342	PD53342a	chr6	44694346	58414704	2	1	1
PD53342	PD53342a	chr6	60283617	170731111	2	1	1
PD53342	PD53342a	chr7	50462	6917738	2	1	1
PD53342	PD53342a	chr7	6922874	55638621	2	1	1
PD53342	PD53342a	chr7	55645668	58100632	2	1	1
PD53342	PD53342a	chr7	60958059	77932977	2	1	1
PD53342	PD53342a	chr7	77949747	96732734	3	2	1
PD53342	PD53342a	chr7	96769477	100199408	2	1	1
PD53342	PD53342a	chr7	100202222	103258581	1	1	0
PD53342	PD53342a	chr7	103262031	141081188	2	1	1
PD53342	PD53342a	chr7	141289489	148261429	2	1	1
PD53342	PD53342a	chr7	148263509	159316121	2	1	1
PD53342	PD53342a	chr8	387798	15932851	1	1	0
PD53342	PD53342a	chr8	15935632	17137119	4	3	1
PD53342	PD53342a	chr8	17137925	17831224	8	7	1
PD53342	PD53342a	chr8	17839156	18967344	3	2	1
PD53342	PD53342a	chr8	19029482	20956974	7	6	1
PD53342	PD53342a	chr8	21045182	23574819	1	1	0
PD53342	PD53342a	chr8	23583806	27012144	2	1	1
PD53342	PD53342a	chr8	27034068	27779991	11	10	1
PD53342	PD53342a	chr8	27785427	30409490	1	1	0
PD53342	PD53342a	chr8	30461783	30719950	12	11	1
PD53342	PD53342a	chr8	30724834	33206899	6	6	0
PD53342	PD53342a	chr8	33218058	40582360	1	1	0
PD53342	PD53342a	chr8	40595913	41035004	8	6	2
PD53342	PD53342a	chr8	41064331	43672929	1	1	0
PD53342	PD53342a	chr8	46270835	142273192	4	3	1
PD53342	PD53342a	chr8	142300449	145066227	4	3	1
PD53342	PD53342a	chr9	103776	35777498	2	1	1
PD53342	PD53342a	chr9	35808337	37208295	4	3	1
PD53342	PD53342a	chr9	37233893	42975562	2	1	1
PD53342	PD53342a	chr9	43111221	69099647	2	2	0
PD53342	PD53342a	chr9	69099777	124069439	2	1	1
PD53342	PD53342a	chr9	124069488	131243746	2	1	1
PD53342	PD53342a	chr9	131253410	138198484	2	1	1
PD53342	PD53342a	chr10	47663	39131435	1	1	0
PD53342	PD53342a	chr10	41859763	67840244	1	1	0
PD53342	PD53342a	chr10	67843264	133787225	1	1	0
PD53342	PD53342a	chr11	87018	2303462	2	1	1
PD53342	PD53342a	chr11	2308847	16484260	2	1	1
PD53342	PD53342a	chr11	16484385	19172594	2	1	1
PD53342	PD53342a	chr11	19175157	50512765	2	1	1
PD53342	PD53342a	chr11	54568712	61203597	2	1	1
PD53342	PD53342a	chr11	61250856	107455939	2	1	1
PD53342	PD53342a	chr11	107466593	119633546	2	1	1
PD53342	PD53342a	chr11	119633770	134986767	2	1	1
PD53342	PD53342a	chr12	13488	203034	2	1	1
PD53342	PD53342a	chr12	206283	33802252	2	1	1
PD53342	PD53342a	chr12	38290319	48274446	2	1	1
PD53342	PD53342a	chr12	48285453	57814381	2	1	1
PD53342	PD53342a	chr12	57834805	133259913	2	1	1
PD53342	PD53342a	chr13	18177561	114325924	2	1	1
PD53342	PD53342a	chr14	16098225	16402034	2	1	1
PD53342	PD53342a	chr14	18289867	19936455	2	1	1
PD53342	PD53342a	chr14	20034762	33977815	2	1	1
PD53342	PD53342a	chr14	33981226	35321371	2	1	1
PD53342	PD53342a	chr14	35328661	49155737	2	1	1
PD53342	PD53342a	chr14	49178470	105837365	2	1	1
PD53342	PD53342a	chr14	105838563	106874913	2	1	1
PD53342	PD53342a	chr15	19964897	22804297	2	2	0
PD53342	PD53342a	chr15	22805452	101980715	2	1	1
PD53342	PD53342a	chr16	11641	4898935	2	1	1
PD53342	PD53342a	chr16	4899439	34266193	2	1	1
PD53342	PD53342a	chr16	34267372	36104311	2	1	1
PD53342	PD53342a	chr16	46386441	46401545	0	0	0
PD53342	PD53342a	chr16	46568907	69424876	2	1	1
PD53342	PD53342a	chr16	69443282	75651411	1	1	0
PD53342	PD53342a	chr16	75969323	90149401	1	1	0
PD53342	PD53342a	chr17	137603	10652285	2	1	1
PD53342	PD53342a	chr17	10660723	21319138	2	1	1
PD53342	PD53342a	chr17	21325628	25074459	1	1	0
PD53342	PD53342a	chr17	25389878	32456786	1	1	0
PD53342	PD53342a	chr17	32464485	33799242	2	1	1
PD53342	PD53342a	chr17	33899042	34192839	10	9	1
PD53342	PD53342a	chr17	34239399	41328369	2	1	1
PD53342	PD53342a	chr17	41346911	41518389	11	10	1
PD53342	PD53342a	chr17	41524683	43869705	2	1	1
PD53342	PD53342a	chr17	43923182	44000105	16	15	1
PD53342	PD53342a	chr17	44350364	44567764	2	1	1
PD53342	PD53342a	chr17	44576467	44646098	10	9	1
PD53342	PD53342a	chr17	44666870	49877726	2	1	1
PD53342	PD53342a	chr17	49893159	50772662	10	9	1
PD53342	PD53342a	chr17	50780450	52919516	7	6	1
PD53342	PD53342a	chr17	53096566	53701179	19	17	2
PD53342	PD53342a	chr17	53755334	55561697	6	5	1
PD53342	PD53342a	chr17	55579885	57223048	10	9	1
PD53342	PD53342a	chr17	57377765	57926547	3	2	1
PD53342	PD53342a	chr17	58036269	59850929	5	5	0
PD53342	PD53342a	chr17	59867998	61170032	19	19	0
PD53342	PD53342a	chr17	61299259	62825966	12	11	1
PD53342	PD53342a	chr17	63123997	64185593	4	3	1
PD53342	PD53342a	chr17	64208294	64913457	16	15	1
PD53342	PD53342a	chr17	64919339	64921941	13	10	3
PD53342	PD53342a	chr17	64922003	65598516	15	14	1
PD53342	PD53342a	chr17	65606234	67293996	10	9	1
PD53342	PD53342a	chr17	67296856	74795479	1	1	0
PD53342	PD53342a	chr17	74811425	75737234	9	8	1
PD53342	PD53342a	chr17	75743294	76545089	4	3	1
PD53342	PD53342a	chr17	76550478	76925175	5	4	1
PD53342	PD53342a	chr17	76926496	77223861	11	10	1
PD53342	PD53342a	chr17	77232789	78662115	8	7	1
PD53342	PD53342a	chr17	78675920	79770588	3	2	1
PD53342	PD53342a	chr17	79778348	80309284	1	1	0
PD53342	PD53342a	chr17	80319145	80934202	7	6	1
PD53342	PD53342a	chr17	80934458	81859050	3	2	1
PD53342	PD53342a	chr17	81940768	82312134	11	10	1
PD53342	PD53342a	chr17	82323064	82491140	5	4	1
PD53342	PD53342a	chr17	82501509	83160952	13	12	1
PD53342	PD53342a	chr18	47554	15348315	1	1	0
PD53342	PD53342a	chr18	20946254	80257347	2	1	1
PD53342	PD53342a	chr19	107329	24394098	1	1	0
PD53342	PD53342a	chr19	27392127	32561030	2	1	1
PD53342	PD53342a	chr19	32565688	44397585	2	1	1
PD53342	PD53342a	chr19	44443000	53644791	1	1	0
PD53342	PD53342a	chr19	53647167	54133057	2	1	1
PD53342	PD53342a	chr19	54133164	58548362	2	1	1
PD53342	PD53342a	chr20	73765	26168423	2	1	1
PD53342	PD53342a	chr20	28559257	31529302	2	1	1
PD53342	PD53342a	chr20	31529545	64302708	2	1	1
PD53342	PD53342a	chr21	5218123	10722613	1	1	0
PD53342	PD53342a	chr21	13002718	26089901	4	2	2
PD53342	PD53342a	chr21	26190966	26789791	10	9	1
PD53342	PD53342a	chr21	26823119	43978607	2	1	1
PD53342	PD53342a	chr21	44093618	44297529	10	9	1
PD53342	PD53342a	chr21	44304103	45824033	2	1	1
PD53342	PD53342a	chr21	45900891	46155572	8	7	1
PD53342	PD53342a	chr21	46334596	46692843	2	1	1
PD53342	PD53342a	chr22	10684424	12789134	1	1	0
PD53342	PD53342a	chr22	15346225	50808384	2	1	1
PD53342	PD53342a	chrX	284193	3809806	2	1	1
PD53342	PD53342a	chrX	3811336	58042585	2	1	1
PD53342	PD53342a	chrX	63382294	155997942	2	1	1
PD53342	PD53342a	chrY	10796683	56885614	1	1	0
PD53343	PD53343i	chr1	13273	16509896	2	1	1
PD53343	PD53343i	chr1	16510071	16947199	3	2	1
PD53343	PD53343i	chr1	16948559	123177111	2	1	1
PD53343	PD53343i	chr1	123755777	248945592	3	2	1
PD53343	PD53343i	chr2	116488	89244608	2	1	1
PD53343	PD53343i	chr2	89538544	92075324	2	1	1
PD53343	PD53343i	chr2	94190317	242183364	2	1	1
PD53343	PD53343i	chr3	10374	90303819	2	1	1
PD53343	PD53343i	chr3	91404436	198113542	2	1	1
PD53343	PD53343i	chr4	46210	49092872	2	1	1
PD53343	PD53343i	chr4	49096832	49711644	2	1	1
PD53343	PD53343i	chr4	51819050	190179679	2	1	1
PD53343	PD53343i	chr5	44595	488195	3	2	1
PD53343	PD53343i	chr5	491711	1225561	1	1	0
PD53343	PD53343i	chr5	1253629	3383787	3	2	1
PD53343	PD53343i	chr5	3384089	4095539	1	1	0
PD53343	PD53343i	chr5	4143885	12439481	3	2	1
PD53343	PD53343i	chr5	12439592	13638374	6	5	1
PD53343	PD53343i	chr5	13650357	16214692	3	2	1
PD53343	PD53343i	chr5	16259179	17729178	6	5	1
PD53343	PD53343i	chr5	17736184	30480452	3	2	1
PD53343	PD53343i	chr5	30495188	34551654	4	3	1
PD53343	PD53343i	chr5	34554324	37286075	3	2	1
PD53343	PD53343i	chr5	37292137	37656989	2	1	1
PD53343	PD53343i	chr5	37712150	45816754	4	3	1
PD53343	PD53343i	chr5	49599598	50273863	2	1	1
PD53343	PD53343i	chr5	50322722	181288546	2	1	1
PD53343	PD53343i	chr6	160049	58414703	3	2	1
PD53343	PD53343i	chr6	60281479	170640200	1	1	0
PD53343	PD53343i	chr7	37991	413634	4	2	2
PD53343	PD53343i	chr7	430570	639732	8	6	2
PD53343	PD53343i	chr7	639839	1773040	6	4	2
PD53343	PD53343i	chr7	1773083	3424032	4	2	2
PD53343	PD53343i	chr7	3586416	5231042	2	2	0
PD53343	PD53343i	chr7	5235906	5367749	4	2	2
PD53343	PD53343i	chr7	5377790	5771669	2	2	0
PD53343	PD53343i	chr7	5772014	6120458	7	5	2
PD53343	PD53343i	chr7	6120764	6258056	9	7	2
PD53343	PD53343i	chr7	6261390	6295555	13	8	5
